Teriyaki Jerky,,,,,,,,,,,,,,,,,
Rate,Ingredient,Qty,Con F (Waste),CIU,1000,,Rate,Ingredient,Qty,Con F (Waste),CIU,,,,,,
895.45,teriyaki sauce,730,1,653.6785,73,,320,Chicken (gm),1000,1.428571429,457.1428571,,Qty of meat,Dehy Yield,Final weight,Num of packs,Cost per Pack
268,soy sauce,464,1,124.352,46.4,,35,Vinegar soak,15,1,0.525,,1000,52%,520,16.77419355,33.45272496
200.00,honey,420,1,84,42,,403.7,Marinade cost,255.05,1,102.974626,,,,,,
216.00,Tamarind pulp,254,1,54.864,25.4,,250,Papain,2,1,0.5,,,,,,
35.00,White vinegar,254,1,8.89,25.4,,,,,,561.1424831,,,,,,
1240,verdad,20,1,24.8,2,,,,,,,,,,,,
144.68,jaggery powder,232,1,33.56576,23.2,,,Initial wt,Final wt,Yield,Con Factor,,,,,,
17.00,sea salt,75,1,1.275,7.5,,BUFF,1000,600,60,1.666666667,,,,,,
210.00,seasame seed ,45,1,9.45,4.5,,Chicken,1000,700,70,1.428571429,,,,,,
968,Yeast extract,10,1,9.68,1,,,,,,,,,,,,
850,black pepper,11,1,9.35,1.1,,,,,,,,,,,,
170,Onion powder,14,1,2.38,1.4,,Rate,Ingredient,Qty,Con F (Waste),CIU,,,,,,
372,chilli flake,13,1,4.836,1.3,,450,Buff (gm),1000,1.666666667,750,,Qty of meat,Dehy Yield,Final weight,Num of packs,Cost per Pack
125,garlic powder,6,1,0.75,0.6,,35,Vinegar soak,15,1,0.525,,1000,52%,520,16.77419355,50.9562277
3150.00,bhut jholokia,2.5,1,7.875,0.25,,403.7,Marinade cost,255.05,1,102.974626,,,,,,
1050,liquid smoke,0.00,1,0,0,,250,Papain,5,1,1.25,,,,,,
,,2550.5,,1029.74626,,,,,,,854.749626,,,,,,
,,Cost per Kg,,403.7428975,,,,,,,,,,,,,
,,Marinade per Gm of meat,,255.05,,,enter values in Blue cells,,,,,,,,,,
